
25,Navidad,fiesta,diciembre
26,San Esteve,fiesta,diciembre
3,Adviento I (ciclo B),fiesta,diciembre
3,San Francisco Javier,santo,diciembre
6,Montse \Cross,memoria,diciembre
6,La Constitución,fiesta,diciembre
8,La Inmaculada,fiesta,diciembre
8,Teresa \Cross,memoria,diciembre
10,Juan,2019,diciembre
14,Catalina,2019,diciembre
18,Javier CF,2020,diciembre
28,Ester,1995,diciembre
28,Santos Inocentes,santo,diciembre
30,Abuela,1961,diciembre
30,Marc,1984,diciembre
21,Invierno,estacion,diciembre
9,Inés,cumple,diciembre
26,Gloria Molina,cumple,diciembre
